Genus	Species	1C (pg)
Sedum	ochroleucum	0.46
Polycarpaea	tenuis	0.46
Oryza	rufipogon	0.46
Luzula	sudetica	0.46
Betula	nana	0.46
Corchorus	olitorius	0.46
Sedum	forsterianum	0.46
Hedinia	tibetica	0.46
Echium	virescens	0.46
Cucurbita	maxima	0.46
Juncus	tenuis	0.46
Lemna	trisulca	0.46
Pittosporum	tenuifolium	0.46
Oxalis	herrerae	0.46
Oxalis	peduncularis	0.46
Oxalis	lucumayensis	0.46
Oxalis	sp. cfr. Melilotoides	0.47
Polycarpaea	aristata	0.47
Oryza	nivara	0.47
Greenovia	dodrendalis	0.47
Rhamnus	orbiculata	0.47
Cucurbita	ficifolia	0.47
Salix	purpurea	0.47
Guaiacum	officinale	0.47
Echium	simplex	0.47
Echium	gentianoides	0.47
Cryptotaenia	elegans	0.47
Hechtia	matudae	0.47
Puya	stenothyrsa	0.47
Primula	vulgaris	0.47
Populus	canescens	0.47
Penstemon	dissectus	0.47
Chenopodium	pallidicaule	0.48
Amaranthus	hypochondriacus	0.48
Anthyllis	vulneraria	0.48
Hesperantha	bachmannii	0.48
Atriplex	phyllostegia	0.48
Corylus	avellana	0.48
Vigna	ambacensis	0.48
Melia	birmanica	0.48
Tectona	grandis	0.48
Vigna	sublobata	0.48
Medicago	truncatula	0.48
Dioscorea	togoensis	0.48
Spiraea	pubescens	0.48
Myriophyllum	proserpinacoides	0.48
Vitis	riparia	0.48
Vitis	acerifolia	0.48
Vitis	aestivalis	0.48
Vitis	aestivalis	0.48
Citrus	reticulata	0.48
Rosa	nitida	0.48
Rosa	iliensis	0.48
Rosa	foliolosa	0.48
Rosa	roxburghii	0.48
Lotus	tenuis	0.48
Lotus	japonicus	0.48
Lotus	corniculatus	0.48
Lotus	alpinus	0.48
Salvia	brachyodon	0.48
Melittis	melissophyllum	0.48
Drosera	menziesii	0.48
Oxalis	boliviana	0.48
Oxalis	paucartambensis	0.48
Salix	pyrenaica	0.48
Leucaena	multicapitula	0.48
Chenopodium	coronopus	0.48
Luzula	exspectata	0.48
Hechtia	epigyna	0.48
Rumex	alpinus	0.48
Cuscuta	campestris	0.48
Valeriana	longiflora	0.48
Oxalis	sp. cfr.teneriensis	0.48
Lupinus	princei	0.49
Zoysia	pauciflora	0.49
Plantago	arborescens	0.49
Salvia	officinalis	0.49
Echium	triste	0.49
Echium	brevirame	0.49
Echium	leucophaeum	0.49
Luzula	campestris	0.49
Primula	veris	0.49
Valeriana	apula	0.49
Penstemon	leonardii	0.49
Penstemon	fruticosus	0.49
Proboscidea	louisiana	0.49
Lupinus	micranthus	0.49
Echium	webbii	0.49
Greenovia	aizoon	0.49
Cymbalaria	muralis	0.49
Corrigiola	littoralis	0.49
Oxalis	petrophila	0.49
Populus	trichocarpa	0.49
Zoysia	minima	0.5
