Genus	Species	1C (pg)	Original Reference	Paper
Phytolacca	tetramera	2.78	Poggio et al., 1999 (Ref. 354)	2000
Achillea	coarctata	2.78	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Onosma	stellulata	2.78	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Dodecatheon	media	2.79	Vesely et al., 2011 (Ref. 675)	2012
Orobanche	alba	2.79	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Crepis	lyrata	2.79	Enke et al., 2011 (Ref. 670)	2012
Turnera	aurelii	2.79	Lopez et al., 2011 (Ref. 694)	2012
Poa	dipsacea	2.80	Murray et al., 2005 (Ref. 528)	2011
Papaver	lateritium	2.80	Srivastava and Lavania, 1991 (Ref. 167)	1995
Trichopilia	marginata	2.80	Albert et al., 1992 (Ref. 198)	1995
Camassia	cusickii	2.80	Fernandez and Daviña, 1991 (Ref. 223)	1995
Pennisetum	pedicellatum	2.80	Martel et al., 1997 (Ref. 308)	2000
Oncidium	loxense	2.80	Hanson et al., 1999 (Ref. 377)	2000
Arundo	donax	2.80	Zonneveld et al., 2005 (Ref. 466)	2005b
Senecio	radicans	2.80	Zonneveld et al., 2005 (Ref. 466)	2005b
Poa	incrassata	2.80	Murray et al., 2005 (Ref. 528)	2011
Anthurium	pittieri	2.81	Bliss & Suzuki, 2012 (Ref. 673)	2012
Anthericum	ramosum	2.82	Vesely et al., 2011 (Ref. 675)	2012
Crepis	schachtii	2.82	Dimitrova and Greilhuber, 2000 (Ref. 394)	2005a
Sedum	spurium	2.82	Hart et al., 1993 (Ref. 399)	2005a
Smyrnium	perfoliatum	2.82	Kubesová et al., 2010 (Ref. 630)	2012
Litsea	glutinosa	2.82	Ohri, 2002 (Ref. 454)	2005a
Poa	trivialis	2.83	Bennett, 1972 (Ref. 1)	1976
Trichosanthes	dioica	2.83	Chattopadhyay and Sharma, 1991 (Ref. 214)	1995
Camassia	leichtlinii	2.83	Fernandez and Daviña, 1991 (Ref. 223)	1995
Pseudophoenix	sargentii	2.83	Röser et al., 1997 (Ref. 271)	1997
Achillea	glaberrima	2.83	Dabrowska J., 1992 (Ref. 326)	2000
Hedysarum	aucheri	2.83	Akpinar and Yildiz, 1999 (Ref. 363)	2000
Oncidium	robustissimum	2.83	Hanson et al., 1999 (Ref. 377)	2000
Agrostis	palustris	2.83	Arumuganathan et al., 1999 (Ref. 417)	2005a
Poa	colensoi	2.83	Murray et al., 2005 (Ref. 528)	2011
Poa	buchananii	2.83	Murray et al., 2005 (Ref. 528)	2011
Festuca	riloensis	2.84	Smarda et al., 2008 (Ref. 555)	2011
Gossypium	nobile	2.84	Hendrix & Stewart, 2005 (Ref. 471)	2011
Phytolacca	esculenta	2.84	Kubesová et al., 2010 (Ref. 630)	2012
Pedicularis	hoermanniana	2.84	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Poa	ramosissima	2.85	Murray et al., 2005 (Ref. 528)	2011
Nicotiana	wigandioides	2.85	Leitch et al., 2008 (Ref. 566)	2011
Wendlandiella	gracilis	2.85	Röser et al., 1997 (Ref. 271)	1997
Canarina	canariensis	2.86	Suda et al., 2003 (Ref. 477)	2011
Lolium	temulentum	2.86	Smarda et al., 2008 (Ref. 555)	2011
Polylepis	racemosa	2.87	Schmidt-Lebuhn et al., 2010 (Ref. 620)	2012
Onosma	pseudoarenaria	2.87	Martonfi et al., 2008 (Ref. 623)	2012
Anemarrhena	asphodeloides	2.88	Rudall et al., 1998 (Ref. 317)	2000
Achillea	vermicularis	2.88	Dabrowska J., 1992 (Ref. 326)	2000
Oncidium	ornithorynchum	2.88	Hanson et al., 1999 (Ref. 377)	2000
Diospyros	exculpata	2.88	Ohri et al., 2004 (Ref. 501)	2011
Cistus	libanotis	2.89	Ellul et al., 2002 (Ref. 404)	2005a
Dactylorhiza	fuchsii	2.89	Aagaard et al., 2005 (Ref. 517)	2011
Artemisia	abrotanum	2.89	Garcia et al., 2004 (Ref. 521)	2011
Androcymbium	palaestinum	2.89	Vesely et al., 2011 (Ref. 675)	2012
Ulex	gallii	2.90	Band, 1984 (Ref. 154)	1991
Papaver	spicatum	2.90	Srivastava and Lavania, 1991 (Ref. 167)	1995
Oxalis	bupleurifolia	2.90	De Azkue and Martínez, 1988 (Ref. 172)	1995
Sisyrinchium	bermudiana	2.90	Kenton et al., 1986 (Ref. 177)	1995
Pennisetum	purpureum	2.90	Taylor and Vasil, 1987 (Ref. 246)	1995
Dypsis	louvelii	2.90	Röser et al., 1997 (Ref. 271)	1997
Achillea	ptarmica	2.90	Dabrowska J., 1992 (Ref. 326)	2000
Achillea	ochroleuca	2.90	Dabrowska J., 1992 (Ref. 326)	2000
Achillea	ageratifolia	2.90	Dabrowska J., 1992 (Ref. 326)	2000
Achillea	filipendulina	2.90	Dabrowska J., 1992 (Ref. 326)	2000
Chloranthus	officinalis	2.90	Morawetz and Samuel, 1998 (Ref. 341)	2000
Humulus	lupulus	2.90	Zonneveld et al., 2005 (Ref. 466)	2005b
Hedera	algeriensis	2.90	Zonneveld et al., 2005 (Ref. 466)	2005b
Senecio	articulatus	2.90	Zonneveld et al., 2005 (Ref. 466)	2005b
Festuca	picturata	2.90	Smarda et al., 2008 (Ref. 555)	2011
Vicia	scandens	2.91	Suda et al., 2005 (Ref. 552)	2011
Justicia	hyssopifolia	2.91	Suda et al., 2005 (Ref. 552)	2011
Cerastium	fontanum	2.93	Bennett MD, Smith JB, Lewis Smith RI., 1982 (Ref. 105)	1982
Nuytsia	floribunda	2.93	Martin., 1983 (Ref. 109)	1991
Elymus	farctus	2.93	Bennett and Smith, 1987 (Ref. 164)	1995
Sisyrinchium	douglasii	2.93	Kenton et al., 1986 (Ref. 177)	1995
Dypsis	beentjei	2.93	Röser et al., 1997 (Ref. 271)	1997
Cajanus	acutifolius	2.93	Ohri, 1996 (Ref. 303)	1997
Achillea	setacea	2.93	Dabrowska J., 1992 (Ref. 326)	2000
Oncidium	wentworthianum	2.93	Hanson et al., 1999 (Ref. 377)	2000
Festuca	henriquesii	2.93	Loureiro et al., 2007 (Ref. 582)	2011
Vulpia	bromoides	2.93	Smarda et al., 2008 (Ref. 555)	2011
Artemisia	campestris	2.94	Torrell and Valles, 2001 (Ref. 386)	2005a
Ranunculus	adoneus	2.94	Baack, 2004 (Ref. 523)	2011
Cistus	monspeliensis	2.94	Ellul et al., 2002 (Ref. 404)	2005a
Silene	dichotoma	2.94	Kubesová et al., 2010 (Ref. 630)	2012
Vulpia	sicula	2.95	Smarda et al., 2008 (Ref. 555)	2011
Senecio	mikanioides	2.95	Lawrence, 1985 (Ref. 114)	1991
Danthonia	decumbens	2.95	Mowforth, 1986 (Ref. 158)	1991
Bletilla	striata	2.95	Zonneveld et al., 2005 (Ref. 466)	2005b
Sarcocornia	fruiticosa	2.96	Dolenc Koce et al., 2008 (Ref. 580)	2011
Ranunculus	macauleyi	2.97	Baack, 2004 (Ref. 523)	2011
Artemisia	dracunculus	2.97	Pellicer et al., 2007 (Ref. 553)	2011
Turnera	fernandezii	2.97	Lopez et al., 2011 (Ref. 694)	2012
Bryonia	alba	2.97	Vesely et al., 2011 (Ref. 675)	2012
Eleusine	kigeziensis	2.98	Hiremath and Salimath, 1991 (Ref. 218)	1995
Agave	fourcroydes	2.98	Banerjee and Sharma, 1987 (Ref. 222)	1995
Achillea	tomentosa	2.98	Dabrowska J., 1992 (Ref. 326)	2000
Rollinia	mucosa	2.98	Morawetz and Samuel, 1998 (Ref. 341)	2000
Artemisia	austriaca	2.98	Garcia et al., 2004 (Ref. 521)	2011
Austrodanthonia	caespitosa	2.98	Morgan & Westoby, 2005 (Ref. 526)	2011
Crocus	pallasii	2.98	Vesely et al., 2011 (Ref. 675)	2012
Artemisia	molinieri	2.98	Torrell and Valles, 2001 (Ref. 386)	2005a
Cyclamen	hederifolium	2.98	Hanson et al., 2002 (Ref. 465)	2005a
Olea	maderensis	2.99	Brito et al., 2008 (Ref. 588)	2011
Daphne	laureola	2.99	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Atriplex	nummularia	2.99	Morgan & Westoby, 2005 (Ref. 526)	2011
Poa	astonii	2.99	Murray et al., 2005 (Ref. 528)	2011
Poa	foliosa	3.00	Murray et al., 2005 (Ref. 528)	2011
Pratia	macrodon	3.00	Murray et al., 1992 (Ref. 207)	1995
Desmoncus	polyacanthos	3.00	Röser et al., 1997 (Ref. 271)	1997
Cattleya	walkeriana	3.00	Jones et al., 1998 (Ref. 307)	2000
Achillea	ageratum	3.00	Dabrowska J., 1992 (Ref. 326)	2000
Hedera	hibernica	3.00	Zonneveld et al., 2005 (Ref. 466)	2005b
Artemisia	giraldii	3.00	Pellicer et al., 2007 (Ref. 553)	2011
Vicia	ochroleuca	3.00	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Poa	intrusa	3.01	Murray et al., 2005 (Ref. 528)	2011
Artemisia	chamaemelifolia	3.02	Torrell and Valles, 2001 (Ref. 386)	2005a
Rytidosperma	maculatum	3.02	Murray et al., 2005 (Ref. 528)	2011
Ravenea	musicalis	3.03	Röser et al., 1997 (Ref. 271)	1997
Berberis	buxifolia	3.03	Bottini et al., 1998 (Ref. 353)	2000
Oncidium	stenotis	3.03	Hanson et al., 1999 (Ref. 377)	2000
Poa	aff. colensoi	3.03	Murray et al., 2005 (Ref. 528)	2011
Daphne	mezereum	3.03	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Albuca	pendula	3.03	Hanson et al., 2002 (Ref. 465)	2005a
Chionochloa	bromoides	3.05	Murray et al., 2005 (Ref. 528)	2011
Cynosurus	cristatus	3.05	Smarda et al., 2008 (Ref. 555)	2011
Tephrosia	purpurea	3.05	Raina et al., 1986 (Ref. 183)	1995
Agave	americana	3.05	Banerjee and Sharma, 1987 (Ref. 222)	1995
Camassia	quamash	3.05	Fernandez and Daviña, 1991 (Ref. 223)	1995
Syagrus	romanzoffiana	3.05	Röser et al., 1997 (Ref. 271)	1997
Arachis	helodes	3.05	Singh et al., 1996 (Ref. 297)	1997
Arachis	cardenasii	3.05	Singh et al., 1996 (Ref. 297)	1997
Arachis	stenosperma	3.05	Singh et al., 1996 (Ref. 297)	1997
Achillea	clavennae	3.05	Dabrowska J., 1992 (Ref. 326)	2000
Achillea	impatiens	3.05	Dabrowska J., 1992 (Ref. 326)	2000
Oncidium	aloisii	3.05	Hanson et al., 1999 (Ref. 377)	2000
Oncidium	onustum	3.05	Hanson et al., 1999 (Ref. 377)	2000
Muscari	mcbeathianum	3.05	Hanson et al., 2002 (Ref. 465)	2005a
Massonia	sp.	3.05	Zonneveld et al., 2005 (Ref. 466)	2005b
Laurus	nobilis	3.05	Zonneveld et al., 2005 (Ref. 466)	2005b
Yucca	gloriosa	3.05	Zonneveld et al., 2005 (Ref. 466)	2005b
Artemisia	stelleriana	3.05	Garcia et al., 2004 (Ref. 521)	2011
Echinops	cornigerus	3.06	Garnatje et al., 2004 (Ref. 502)	2011
Festuca	gautieri	3.06	Smarda et al., 2008 (Ref. 555)	2011
Ranunculus	carpaticola	3.06	Hörandl & Greilhuber, 2002 (Ref. 474)	2011
Senecio	spathulatus	3.08	Lawrence, 1985 (Ref. 114)	1991
Eleusine	floccifolia	3.08	Hiremath and Salimath, 1991 (Ref. 218)	1995
Pholidota	inbricata	3.08	Narayan et al., 1989 (Ref. 250)	1995
Peperomia	metallica	3.08	Morawetz and Samuel, 1998 (Ref. 341)	2000
Festuca	norica	3.09	Smarda et al., 2008 (Ref. 555)	2011
Bromus	erectus	3.10	Tuna et al., 2006 (Ref. 594)	2011
Phleum	commutatum	3.10	Kula et al., 2006 (Ref. 542)	2011
Achillea	macrophylla	3.10	Dabrowska J., 1992 (Ref. 326)	2000
Berberis	heterophylla	3.10	Bottini et al., 1998 (Ref. 353)	2000
Oncidium	caediochilum	3.10	Hanson et al., 1999 (Ref. 377)	2000
Microseris	paludosa	3.10	Bachmann et al., 1979 (Ref. 99)	1982
Cerastium	transsylvanicum	3.10	Boscaiu et al., 1999 (Ref. 427)	2005a
Biarum	tenuifolium	3.10	Zonneveld et al., 2005 (Ref. 466)	2005b
Cyrtochiloides	cardiochila	3.10	Chase et al., 2005 (Ref. 504)	2011
Anthurium	fragrantissimum	3.11	Bliss & Suzuki, 2012 (Ref. 673)	2012
Vicia	canescens	3.12	Akpinar et al., 1997 (Ref. 409)	2005a
Halimium	lasianthum	3.12	Boscaiu et al., 2008 (Ref. 567)	2011
Phalaris	truncata	3.13	Kadir, 1974 (Ref. 26)	1976
Achillea	salicifolia	3.13	Dabrowska J., 1992 (Ref. 326)	2000
Achillea	asplenifolia	3.13	Dabrowska J., 1992 (Ref. 326)	2000
Posidonia	oceanica	3.13	Koce et al., 2003 (Ref. 479)	2011
Rytidosperma	thomsonii	3.14	Murray et al., 2005 (Ref. 528)	2011
Gentiana	asclepiadea	3.14	Temsch et al., 2010 (Ref. 627)	2012
Ranunculus	escholtzii	3.15	Baack, 2004 (Ref. 523)	2011
Dendrobium	fimbriatum	3.15	Narayan et al., 1989 (Ref. 250)	1995
Cymbidium	sinense	3.15	Jones et al., 1998 (Ref. 307)	2000
Saccharum	spontaneum	3.15	D'Hont, 1999 (Ref. 342)	2000
Oncidium	ansiferum	3.15	Hanson et al., 1999 (Ref. 377)	2000
Ranunculus	cassubicifolius	3.15	Hörandl & Greilhuber, 2002 (Ref. 474)	2011
Lychnis	coronaria	3.15	Kubesová et al., 2010 (Ref. 630)	2012
Artemisia	afra	3.16	Garcia et al., 2004 (Ref. 521)	2011
Castellia	tuberculosa	3.16	Smarda et al., 2008 (Ref. 555)	2011
Poa	novae-zelandiae	3.16	Murray et al., 2005 (Ref. 528)	2011
Chionochloa	conspicua	3.17	Murray et al., 2005 (Ref. 528)	2011
Lamium	argentatum	3.17	Rosenbaumová et al., 2004 (Ref. 591)	2011
Dendrophthoe	odontocalyx	3.18	Martin., 1983 (Ref. 109)	1991
Sisyrinchium	patagonicum	3.18	Kenton et al., 1986 (Ref. 177)	1995
Arachis	chacoense	3.18	Singh et al., 1996 (Ref. 297)	1997
Semiarundinaria	tranquillans	3.18	Hanson et al., 1999 (Ref. 377)	2000
Parthenocissus	quinquefolia	3.18	Horjales et al., 2003 (Ref. 489)	2011
Lamium	montanum	3.18	Rosenbaumová et al., 2004 (Ref. 591)	2011
Orobanche	owerinii	3.18	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Phalaenopsis	pulchra	3.19	Lin et al., 2001 (Ref. 447)	2005a
Artemisia	nova	3.19	Garcia et al., 2004 (Ref. 521)	2011
Orobanche	transcaucasica	3.19	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Cerastium	arcticum	3.19	Boscaiu et al., 1999 (Ref. 427)	2005a
Massonia	pustulata	3.19	Zonneveld et al., 2005 (Ref. 466)	2005b
Chamaecytisus	spinescens	3.19	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Senecio	quadridentatus	3.20	Lawrence, 1985 (Ref. 114)	1991
Schoenorchis	gemmata	3.20	Narayan et al., 1989 (Ref. 250)	1995
Saruma	henryi	3.20	Bharathan et al., 1994 (Ref. 272)	1997
Arachis	correntina	3.20	Singh et al., 1996 (Ref. 297)	1997
Terminalia	myriocarpa	3.20	Ohri, 1996 (Ref. 302)	1997
Cleisostoma	subulatum	3.20	Jones et al., 1998 (Ref. 307)	2000
Limonium	sinuatum	3.20	Morgan et al., 1998 (Ref. 316)	2000
Oncidium	globuliferum	3.20	Hanson et al., 1999 (Ref. 377)	2000
Vahlodea	atropurpurea	3.20	Albers, 1980 (Ref. 73)	1982
Oxalis	acetosella	3.20	Nagl and Fusenig, 1979 (Ref. 81)	1982
Penstemon	digitalis	3.20	Broderick et al., 2011 (Ref. 648)	2012
Fallopia	sachalinensis	3.21	Suda et al., 2010 (Ref. 637)	2012
Dipcadi	serotinum	3.21	Vesely et al., 2011 (Ref. 675)	2012
Crepis	bithynica	3.22	Dimitrova and Greilhuber, 2000 (Ref. 394)	2005a
Phalaenopsis	cornu-cervi	3.22	Lin et al., 2001 (Ref. 447)	2005a
Phleum	alpinum	3.23	Bennett MD, Smith JB, Lewis Smith RI., 1982 (Ref. 105)	1982
Skimmia	japonica	3.23	Guerra M dos S., 1984 (Ref. 140)	1991
Pimpinella	major	3.23	Band, 1984 (Ref. 154)	1991
Pratia	perpusilla	3.23	Murray et al., 1992 (Ref. 207)	1995
Agave	amaniensis	3.23	Finch and Osborne, 1990 (Ref. 221)	1995
Angelica	archangelica	3.23	Kubesová et al., 2010 (Ref. 630)	2012
Phalaenopsis	mariae	3.24	Lin et al., 2001 (Ref. 447)	2005a
Hieracium	echioides	3.24	Suda et al., 2007 (Ref. 569)	2011
Peucedanum	oreoselinum	3.24	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Phalaenopsis	micholitzii	3.25	Lin et al., 2001 (Ref. 447)	2005a
Phalaenopsis	lueddemanniana	3.25	Lin et al., 2001 (Ref. 447)	2005a
Artemisia	vulgaris	3.25	Garcia et al., 2004 (Ref. 521)	2011
Poa	sudicola	3.25	Murray et al., 2005 (Ref. 528)	2011
Lamiastrum	galeobdolon	3.25	Band, 1984 (Ref. 154)	1991
Catabrosa	aquatica	3.25	Baum et al., 1989 (Ref. 269-D)	1995
Achillea	ligustica	3.25	Dabrowska J., 1992 (Ref. 326)	2000
Lycium	chilense	3.25	Stiefkens & Bernardello, 2000 (Ref. 487)	2011
Impatiens	omeiensis	3.25	Vesely et al., 2011 (Ref. 675)	2012
Pilosocereus	royenii	3.26	Negron-Ortiz, 2007 (Ref. 557)	2011
Fagara	zanthoxyloides	3.28	Guerra M dos S., 1984 (Ref. 140)	1991
Nicotiana	otophora	3.28	Narayan, 1987 (Ref. 199)	1995
Saccharum	barberi	3.28	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Arachis	villosa	3.28	Singh et al., 1996 (Ref. 297)	1997
Achillea	lingulata	3.28	Dabrowska J., 1992 (Ref. 326)	2000
Achillea	grandifolia	3.28	Dabrowska J., 1992 (Ref. 326)	2000
Oncidium	trilobum	3.28	Hanson et al., 1999 (Ref. 377)	2000
Oncidium	bracteatum	3.28	Hanson et al., 1999 (Ref. 377)	2000
Xeronema	callistemon	3.28	Hanson et al., 2003 (Ref. 380)	2005a
Artemisia	persica	3.28	Garcia et al., 2004 (Ref. 521)	2011
Phalaenopsis	fasciata	3.28	Lin et al., 2001 (Ref. 447)	2005a
Artemisia	herba-alba	3.29	Torrell and Valles, 2001 (Ref. 386)	2005a
Festuca	acuminata	3.29	Smarda et al., 2008 (Ref. 555)	2011
Silene	chalcedonica	3.30	Siroký et al., 2001 (Ref. 437)	2005a
Nicotiana	tomentosa	3.30	Narayan, 1987 (Ref. 199)	1995
Dactylis	glomerata	3.30	Creber et al., 1994 (Ref. 275)	1997
Oncidium	floridanum	3.30	Hanson et al., 1999 (Ref. 377)	2000
Ranunculus	crenatus	3.30	Goepfert, 1974 (Ref. 44)	1976
Veratrum	lobelianum	3.30	Vesely et al., 2011 (Ref. 675)	2012
Cyclamen	purpurascens	3.30	Temsch et al., 2010 (Ref. 627)	2012
Doryanthes	palmeri	3.31	Hanson et al., 2003 (Ref. 380)	2005a
Phalaenopsis	sumatrana	3.31	Lin et al., 2001 (Ref. 447)	2005a
Echinops	bithynicus	3.31	Garnatje et al., 2004 (Ref. 502)	2011
Colocasia	antiquorum	3.33	Bennett and Smith, 1987 (Ref. 164)	1995
Sisyrinchium	filifolium	3.33	Kenton et al., 1986 (Ref. 177)	1995
Nicotiana	fragrans	3.33	Narayan, 1987 (Ref. 199)	1995
Ranunculus	glacialis	3.33	Goepfert, 1974 (Ref. 44)	1976
Artemisia	caerulescens	3.33	Torrell and Valles, 2001 (Ref. 386)	2005a
Hydrangea	macrophylla	3.33	Zonneveld et al., 2005 (Ref. 466)	2005b
Poa	xenica	3.34	Murray et al., 2005 (Ref. 528)	2011
Asphodelus	microcarpus	3.34	Vesely et al., 2011 (Ref. 675)	2012
Dendrobium	aphyllum	3.35	Narayan et al., 1989 (Ref. 250)	1995
Microseris	laciniata	3.35	Price and Bachmann, 1975 (Ref. 47)	1976
Illicium	anisatum	3.35	Nagl et al., 1977 (Ref. 61)	1982
Graptopetalum	macdougallii	3.35	Zonneveld et al., 2005 (Ref. 466)	2005b
Massonia	depressa	3.36	Zonneveld et al., 2005 (Ref. 466)	2005b
Rumex	nivalis	3.37	Stehlik et al., 2007 (Ref. 559)	2011
Bouvardia	ternifolia	3.38	Kiehn, 1986 (Ref. 175)	1995
Acrocomia	aculeata	3.38	Röser et al., 1997 (Ref. 271)	1997
Achillea	chamaemelifolia	3.38	Dabrowska J., 1992 (Ref. 326)	2000
Hedysarum	rotundifolium	3.38	Akpinar and Yildiz, 1999 (Ref. 363)	2000
Artemisia	lagocephala	3.38	Garcia et al., 2004 (Ref. 521)	2011
Orobanche	latisquama	3.38	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Bromus	variegatus	3.38	Tuna et al., 2006 (Ref. 594)	2011
Hyphaene	benguelensis	3.40	Hanson et al., 1999 (Ref. 377)	2000
Cornus	mas	3.40	Zonneveld et al., 2005 (Ref. 466)	2005b
Prosartes	smithii	3.40	Leitch et al., 2007 (Ref. 565)	2011
Biarum	olivieri	3.41	Vesely et al., 2011 (Ref. 675)	2012
Calyptrogyne	sp.	3.43	Röser et al., 1997 (Ref. 271)	1997
Oncidium	aff. cimiciferum	3.43	Hanson et al., 1999 (Ref. 377)	2000
Howea	forsteriana	3.43	Zonneveld et al., 2005 (Ref. 466)	2005b
Hieracium	pilosella	3.45	Suda et al., 2007 (Ref. 569)	2011
Agrostis	vinealis	3.45	Grime et al., 1985 (Ref. 133)	1991
Dictamnus	albus	3.45	Guerra M dos S., 1984 (Ref. 140)	1991
Syagrus	glaucescens	3.45	Röser et al., 1997 (Ref. 271)	1997
Hieracium	brachiatum	3.45	Bräutigam and Bräutigam, 1996 (Ref. 352)	2000
Taraxacum	albidum	3.46	Závesky et al., 2005 (Ref. 514)	2011
Festuca	pumila	3.46	Smarda et al., 2008 (Ref. 555)	2011
Colymbada	orientalis	3.46	Bancheva & Greilhuber, 2006 (Ref. 529)	2011
Fallopia	x bohemica	3.47	Suda et al., 2010 (Ref. 637)	2012
Orobanche	teucrii	3.47	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Cochlioda	noezliana	3.48	Hanson et al., 1999 (Ref. 377)	2000
Echinops	viscosus	3.48	Garnatje et al., 2004 (Ref. 502)	2011
Brachanthemum	titovii	3.49	Garcia et al., 2004 (Ref. 521)	2011
Carlina	salicifolia	3.49	Suda et al., 2005 (Ref. 552)	2011
Festuca	bosniaca	3.49	Smarda et al., 2008 (Ref. 555)	2011
Festuca	malyschevii	3.49	Smarda et al., 2008 (Ref. 555)	2011
Festuca	tatrae	3.50	Smarda et al., 2008 (Ref. 555)	2011
Senecio	gunnii	3.50	Lawrence, 1985 (Ref. 114)	1991
Bougainvillea	peruviana	3.50	Ohri and Khoshoo, 1982 (Ref. 134)	1991
Agrostis	canina	3.50	Band, 1984 (Ref. 154)	1991
Agrostis	stolonifera	3.50	Band, 1984 (Ref. 154)	1991
Sisyrinchium	pachyrrhizum	3.50	Kenton et al., 1986 (Ref. 177)	1995
Latania	lontaroides	3.50	Röser et al., 1997 (Ref. 271)	1997
Microseris	nutans	3.50	Price and Bachmann, 1975 (Ref. 47)	1976
Romulea	bulbocodioides	3.50	Zonneveld et al., 2005 (Ref. 466)	2005b
Miscanthus	x giganteus	3.50	Nishiwaki et al., 2011 (Ref. 691)	2012
Euphorbia	amygdaloides	3.51	Temsch et al., 2010 (Ref. 627)	2012
Hieracium	stelligerum	3.52	Chrtek et al., 2009 (Ref. 641)	2012
Pinellia	tripartita	3.52	Vesely et al., 2011 (Ref. 675)	2012
Senecio	aff. apargiaefolius	3.53	Lawrence, 1985 (Ref. 114)	1991
Agrostis	capillaris	3.53	Mowforth, 1986 (Ref. 158)	1991
Hieracium	aurantiacum	3.53	Bräutigam and Bräutigam, 1996 (Ref. 352)	2000
Rytidosperma	buchananii	3.54	Murray et al., 2005 (Ref. 528)	2011
Echinops	bannaticus	3.54	Garnatje et al., 2004 (Ref. 502)	2011
Orobanche	grossheimii	3.54	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Dactylorhiza	incarnata	3.55	Aagaard et al., 2005 (Ref. 517)	2011
Hieracium	recoderi	3.55	Chrtek et al., 2009 (Ref. 641)	2012
Phelipanche	olbiensis	3.55	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Phaiophleps	biflora	3.55	Kenton et al., 1986 (Ref. 177)	1995
Sisyrinchium	bellum	3.55	Kenton et al., 1986 (Ref. 177)	1995
Sisyrinchium	depauperatum	3.55	Kenton et al., 1986 (Ref. 177)	1995
Andropogon	gerardii	3.55	Keeler et al., 1987 (Ref. 242)	1995
Cocos	nucifera	3.55	Röser et al., 1997 (Ref. 271)	1997
Orchidantha	maxillaroides	3.55	Bharathan et al., 1994 (Ref. 272)	1997
Spathiphyllum	sp. 'Mauna Loa'	3.55	Bharathan et al., 1994 (Ref. 272)	1997
Ranunculus	thora	3.55	Goepfert, 1974 (Ref. 44)	1976
Hieracium	gouani	3.55	Chrtek et al., 2009 (Ref. 641)	2012
Carlina	xeranthemoides	3.56	Suda et al., 2003 (Ref. 477)	2011
Festuca	versicolor	3.56	Smarda et al., 2008 (Ref. 555)	2011
Orobanche	caryophyllacea	3.56	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Orobanche	raddeana	3.56	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Artemisia	filifolia	3.57	Garcia et al., 2004 (Ref. 521)	2011
Loxococcus	rupicola	3.58	Röser et al., 1997 (Ref. 271)	1997
Terminalia	arjuna	3.58	Ohri, 1996 (Ref. 302)	1997
Sasa	veitchii	3.58	Hanson et al., 1999 (Ref. 377)	2000
Echinops	persicus	3.58	Garnatje et al., 2004 (Ref. 502)	2011
Echinops	niveus	3.59	Garnatje et al., 2004 (Ref. 502)	2011
Hieracium	cordifolium	3.59	Chrtek et al., 2009 (Ref. 641)	2012
Rytidosperma	corinum	3.60	Murray et al., 2005 (Ref. 528)	2011
Chloranthus	spicatus	3.60	Leitch and Hanson, 2002 (Ref. 381)	2005a
Zanthoxylum	piperitum	3.60	Guerra M dos S., 1984 (Ref. 140)	1991
Festuca	donax	3.60	Seal, 1979 (Ref. 72)	1982
Trisetum	antarcticum	3.60	Murray et al., 2003 (Ref. 476)	2011
Ehretia	laevis	3.61	Ohri, 2002 (Ref. 454)	2005a
Hieracium	blyttianum	3.61	Suda et al., 2007 (Ref. 569)	2011
Agave	palmeri	3.63	Bennett et al., 1976 (Ref. 108)	1991
Geonoma	interrupta	3.63	Röser et al., 1997 (Ref. 271)	1997
Erianthus	arundinaceus	3.63	D'Hont, 1999 (Ref. 342)	2000
Medemia	argun	3.63	Hanson et al., 1999 (Ref. 377)	2000
Ranunculus	cymbalaria	3.63	Goepfert, 1974 (Ref. 44)	1976
Crocus	etruscus	3.63	Brandizzi et al., 1996 (Ref. 419)	2005a
Hieracium	stoloniflorum	3.63	Suda et al., 2007 (Ref. 569)	2011
Asphodelus	albus	3.63	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Sorghum	interjectum	3.65	Price et al., 2005 (Ref. 511)	2011
Hieracium	prenanthoides	3.65	Chrtek et al., 2009 (Ref. 641)	2012
Sisyrinchium	idahoense	3.65	Kenton et al., 1986 (Ref. 177)	1995
Solanum	macranthum	3.65	Ohri, 1996 (Ref. 301)	1997
Terminalia	chebula	3.65	Ohri, 1996 (Ref. 302)	1997
