Genus	Species	1C (pg)	Original Reference	Paper
Malus	toringo	1.21	Tatum et al., 2005 (Ref. 650)	2012
Malus	ioensis	1.21	Höfer and Meister, 2010 (Ref. 625)	2012
Thymus	daënensis	1.21	Mahdavi and Karimzadeh, 2010 (Ref. 662)	2012
Crataegus	succulenta	1.21	Telent & Dickinson, 2005 (Ref. 527)	2011
Tinguarra	cervariaefolia	1.21	Suda et al., 2005 (Ref. 552)	2011
Tabebuia	palmeri	1.21	Ohri et al., 2004 (Ref. 501)	2011
Malus	coronaria	1.21	Höfer and Meister, 2010 (Ref. 625)	2012
Coronilla	emerus	1.22	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Atriplex	halimus	1.22	Walker et al., 2005 (Ref. 469)	2011
Cirsium	pannonicum	1.22	Bures et al., 2004 (Ref. 472)	2011
Lotus	berthelotii	1.22	Suda et al., 2005 (Ref. 552)	2011
Penstemon	tubaeflorus	1.22	Broderick et al., 2011 (Ref. 648)	2012
Pinellia	pedatisecta	1.22	Vesely et al., 2011 (Ref. 675)	2012
Solanum	catombelense	1.23	Bennett et al., 1976 (Ref. 108)	1991
Callitriche	stagnalis	1.23	Band, 1984 (Ref. 154)	1991
Nertera	granadensis	1.23	Kiehn, 1986 (Ref. 175)	1995
Sisyrinchium	bermudiana	1.23	Kenton et al., 1986 (Ref. 177)	1995
Piper	apiculatum	1.23	Samuel et al., 1986 (Ref. 180)	1995
Tephrosia	noctiflora	1.23	Raina et al., 1986 (Ref. 183)	1995
Annona	squamosa	1.23	Ohri and Kumar, 1986 (Ref. 185)	1995
Eupomatia	laurina	1.23	Morawetz and Samuel, 1998 (Ref. 341)	2000
Acacia	leptocarpa	1.23	Mukherjee and Sharma, 1995 (Ref. 364)	2000
Tinguarra	montana	1.23	Suda et al., 2003 (Ref. 477)	2011
Nyctanthes	arbor-tristis	1.23	Ohri, 2002 (Ref. 454)	2005a
Myrsine	africana	1.23	Hanson et al., 2003 (Ref. 380)	2005a
Rubus	chamaemorus	1.23	Thiem & Sliwinska, 2003 (Ref. 499)	2011
Erythrina	velutina	1.23	Ohri et al., 2004 (Ref. 501)	2011
Cardamine	yezoensis	1.24	Marhold et al., 2010 (Ref. 621)	2012
Geranium	tuberosum	1.24	Vesely et al., 2011 (Ref. 675)	2012
Aremonia	agrimonoides	1.24	Vidic et al., 2009 (Ref. 628)	2012
Rytidosperma	gracile	1.24	Murray et al., 2005 (Ref. 528)	2011
Lotus	glaucus	1.24	Suda et al., 2003 (Ref. 477)	2011
Cyanus	napuliferus	1.24	Bancheva & Greilhuber, 2006 (Ref. 529)	2011
Penstemon	humilis	1.24	Broderick et al., 2011 (Ref. 648)	2012
Schiedea	verticillata (= Alsinidendron verticillata)	1.24	Kapralov et al., 2009 (Ref. 684)	2012
Crataegus	munda	1.25	Telent & Dickinson, 2005 (Ref. 527)	2011
Lotus	mascaënsis	1.25	Suda et al., 2005 (Ref. 552)	2011
